:ID(RemovalEvent),RMV_TRK_NO,RMV_REA_TX,component_id,aircraft_id,removal_date,work_order_number,technician_id,part_number,serial_number,time_since_install,flight_hours_at_removal,flight_cycles_at_removal,replacement_required,shop_visit_required,warranty_status,removal_location,scheduled_maintenance,removal_priority,cost_estimate,supplier_code,installation_date
RE0001,RMV24080001,Oil leak detected during routine inspection,AC1001-S01-C04,AC1001,2024-08-15T14:30:00,WO2024-08-001,TECH001,P12345-001,SN789123,2847,8450,1250,true,true,IN_WARRANTY,LAX,false,HIGH,15000,SUP001,2024-01-20T08:00:00
RE0002,RMV24080002,Bearing wear exceeds tolerance limits,AC1002-S01-C05,AC1002,2024-08-16T09:15:00,WO2024-08-002,TECH002,P67890-002,SN345678,3254,9200,1380,true,true,OUT_WARRANTY,JFK,false,MEDIUM,8500,SUP002,2023-11-15T10:30:00
RE0003,RMV24080003,Compressor blade damage found during borescope,AC1003-S02-C02,AC1003,2024-08-18T16:45:00,WO2024-08-003,TECH003,P23456-003,SN901234,4567,12500,1890,true,true,IN_WARRANTY,ORD,false,CRITICAL,22000,SUP003,2023-08-10T12:15:00
RE0004,RMV24080004,Scheduled replacement due to calendar limit,AC1004-S03-C01,AC1004,2024-08-20T11:00:00,WO2024-08-004,TECH001,P78901-004,SN567890,7305,18200,2850,true,false,OUT_WARRANTY,DFW,true,LOW,5200,SUP001,2022-06-20T14:20:00
RE0005,RMV24080005,Fuel nozzle clogging reported by crew,AC1005-S01-C04,AC1005,2024-08-22T13:30:00,WO2024-08-005,TECH004,P34567-005,SN123456,1894,5800,890,true,true,IN_WARRANTY,ATL,false,HIGH,12000,SUP004,2024-04-15T07:45:00
RE0006,RMV24080006,Vibration levels above acceptable threshold,AC1006-S02-C03,AC1006,2024-08-24T08:20:00,WO2024-08-006,TECH002,P89012-006,SN789012,2945,8750,1340,true,true,OUT_WARRANTY,LAX,false,MEDIUM,18500,SUP002,2023-12-05T09:30:00
RE0007,RMV24080007,Fan blade tip damage from FOD,AC1007-S01-C01,AC1007,2024-08-25T15:10:00,WO2024-08-007,TECH005,P45678-007,SN345123,3456,10200,1560,true,true,IN_WARRANTY,MIA,false,HIGH,28000,SUP005,2023-09-12T11:00:00
RE0008,RMV24080008,Hydraulic actuator leakage detected,AC1008-S04-C02,AC1008,2024-08-27T10:45:00,WO2024-08-008,TECH003,P90123-008,SN678901,2156,6400,980,true,false,OUT_WARRANTY,SEA,false,MEDIUM,7500,SUP003,2024-02-28T13:15:00
RE0009,RMV24080009,Electronic control unit fault codes present,AC1009-S02-C05,AC1009,2024-08-28T14:00:00,WO2024-08-009,TECH006,P56789-009,SN234567,1245,3800,580,true,true,IN_WARRANTY,DEN,false,HIGH,35000,SUP006,2024-06-10T16:30:00
RE0010,RMV24080010,Scheduled overhaul interval reached,AC1010-S03-C02,AC1010,2024-08-30T09:30:00,WO2024-08-010,TECH001,P12890-010,SN890123,8750,22000,3450,true,true,OUT_WARRANTY,PHX,true,LOW,45000,SUP001,2021-12-15T10:00:00
RE0011,RMV24090011,Thermal distress patterns observed,AC1011-S01-C03,AC1011,2024-09-02T12:15:00,WO2024-09-011,TECH007,P67123-011,SN456789,4234,11800,1820,true,true,IN_WARRANTY,BOS,false,HIGH,31000,SUP007,2023-07-20T08:45:00
RE0012,RMV24090012,Fuel pump pressure irregularities,AC1012-S02-C04,AC1012,2024-09-04T16:20:00,WO2024-09-012,TECH002,P23789-012,SN012345,2567,7200,1105,true,true,OUT_WARRANTY,IAH,false,MEDIUM,9800,SUP002,2024-01-08T11:30:00
RE0013,RMV24090013,Bearing race cracking found during inspection,AC1013-S03-C05,AC1013,2024-09-06T11:45:00,WO2024-09-013,TECH004,P78456-013,SN678234,5234,14500,2240,true,true,IN_WARRANTY,LAS,false,CRITICAL,16500,SUP004,2022-11-30T14:00:00
RE0014,RMV24090014,Combustor liner burn through detected,AC1014-S01-C02,AC1014,2024-09-08T13:30:00,WO2024-09-014,TECH008,P34012-014,SN345890,6789,18900,2890,true,true,OUT_WARRANTY,MSP,false,CRITICAL,52000,SUP008,2022-04-15T09:15:00
RE0015,RMV24090015,Compressor stall during ground run,AC1015-S02-C02,AC1015,2024-09-10T08:00:00,WO2024-09-015,TECH003,P89567-015,SN901567,3845,10800,1650,true,true,IN_WARRANTY,DTW,false,HIGH,24000,SUP003,2023-10-05T15:45:00
RE0016,RMV24090016,Scheduled blade inspection interval reached,AC1016-S01-C01,AC1016,2024-09-12T14:15:00,WO2024-09-016,TECH005,P45901-016,SN567234,4500,12200,1890,false,false,OUT_WARRANTY,CLT,true,LOW,2500,SUP005,2023-06-18T12:00:00
RE0017,RMV24090017,Oil filter contamination beyond limits,AC1017-S03-C04,AC1017,2024-09-14T10:30:00,WO2024-09-017,TECH009,P01678-017,SN123890,1567,4800,730,true,false,IN_WARRANTY,PDX,false,MEDIUM,4200,SUP009,2024-05-22T09:20:00
RE0018,RMV24090018,Thrust reverser actuator malfunction,AC1018-S04-C03,AC1018,2024-09-16T15:45:00,WO2024-09-018,TECH001,P56234-018,SN789567,2234,6700,1025,true,true,OUT_WARRANTY,SLC,false,HIGH,19500,SUP001,2024-03-10T13:50:00
RE0019,RMV24090019,Gas generator turbine blade tip rubs,AC1019-S01-C03,AC1019,2024-09-18T11:20:00,WO2024-09-019,TECH006,P12567-019,SN345123,3678,9850,1520,true,true,IN_WARRANTY,PHL,false,CRITICAL,38000,SUP006,2023-08-25T16:10:00
RE0020,RMV24090020,Fuel manifold cracking discovered,AC1020-S02-C04,AC1020,2024-09-20T09:00:00,WO2024-09-020,TECH007,P67890-020,SN901234,4123,11600,1785,true,true,OUT_WARRANTY,TPA,false,HIGH,14500,SUP007,2023-05-12T10:45:00
RE0021,RMV24100021,Accessory gearbox oil leak,AC1001-S03-C02,AC1001,2024-10-01T12:30:00,WO2024-10-021,TECH010,P23456-021,SN567012,2890,8200,1260,true,true,IN_WARRANTY,LAX,false,MEDIUM,11000,SUP010,2024-02-14T14:25:00
RE0022,RMV24100022,Engine mount bolt fatigue crack,AC1002-S04-C01,AC1002,2024-10-03T14:45:00,WO2024-10-022,TECH002,P78901-022,SN123678,5467,15200,2340,true,false,OUT_WARRANTY,JFK,false,CRITICAL,8500,SUP002,2022-09-08T11:30:00
