id,name,category,subcategory,riskScore
SUP-001,Ochre Freight,logistics,freight,24
SUP-002,Nimbus Closures,packaging,caps,76
SUP-003,Frost Consulting,services,consulting,31
SUP-004,Cobalt Freight,logistics,freight,24
SUP-005,Pinnacle Closures,packaging,caps,40
SUP-006,Wisp Consulting,services,consulting,65
SUP-007,Thistle Warehousing,logistics,warehousing,29
SUP-008,Cinder Flavor Co,ingredients,flavorings,44
SUP-009,Bramble Consulting,services,consulting,24
SUP-010,Alder Brewing Systems,equipment,brewing equipment,27
SUP-011,Dune Malt Supply,ingredients,malt,21
SUP-012,Kelvin Canning,packaging,cans,31
SUP-013,Yarrow Cooling Systems,equipment,cooling systems,66
SUP-014,Poplar Sugar Co,ingredients,sugar,22
SUP-015,Cinder Malt Supply,ingredients,malt,31
SUP-016,Tidal Brewing Systems,equipment,brewing equipment,24
SUP-017,Tidal Freight,logistics,freight,19
SUP-018,Pinnacle Brewing Systems,equipment,brewing equipment,29
SUP-019,Maple Maintenance,services,maintenance,40
SUP-020,Cedar Brewing Systems,equipment,brewing equipment,40
SUP-021,Delta Brewing Systems,equipment,brewing equipment,38
SUP-022,Thistle Canning,packaging,cans,34
SUP-023,Coral Warehousing,logistics,warehousing,28
SUP-024,Fern Hops Co,ingredients,hops,60
SUP-025,Lumen Warehousing,logistics,warehousing,41
SUP-026,Ridgeline Maintenance,services,maintenance,21
SUP-027,Maple Sugar Co,ingredients,sugar,40
SUP-028,Dune Labels,packaging,labels,31
SUP-029,Zephyr Consulting,services,consulting,58
SUP-030,Umber Consulting,services,consulting,40
SUP-031,Frost Warehousing,logistics,warehousing,50
SUP-032,Alder Cooling Systems,equipment,cooling systems,52
SUP-033,Frost Maintenance,services,maintenance,40
SUP-034,Fjord Freight,logistics,freight,17
SUP-035,Wisp Freight,logistics,freight,17
SUP-036,Verdant Freight,logistics,freight,45
SUP-037,Kelvin Maintenance,services,maintenance,54
SUP-038,Nimbus Canning,packaging,cans,24
SUP-039,Yarrow Canning,packaging,cans,34
SUP-040,Linden Consulting,services,consulting,32
SUP-041,Delta Maintenance,services,maintenance,38
SUP-042,Ochre Canning,packaging,cans,32
SUP-043,Lumen Maintenance,services,maintenance,70
SUP-044,Cinder Freight,logistics,freight,76
